10000 100000
3345 805 1
9249 3942 8
5986 777 6
3524 4854 6
2849 2981 9
1889 7696 7
8620 8181 8
6620 6602 2
7659 4653 5
9661 9312 4
1272 1494 8
7354 8758 8
972 3253 6
6537 15 10
1804 5708 4
1524 5013 5
3004 9307 9
8867 956 6
2705 3243 4
4998 5753 3
6489 426 6
2071 7178 5
4616 5252 4
9775 5204 8
370 7856 3
9245 9034 1
9563 4445 10
2707 8018 1
8398 4898 4
4695 5980 9
8556 5212 4
4272 8984 8
2325 1425 3
8156 3750 2
9313 6225 6
6007 8203 4
4526 5171 5
507 9550 7
2237 6185 3
3864 2206 8
766 3132 3
2755 3472 9
2306 7393 7
6099 2266 3
5103 1086 3
4827 8781 9
7378 1058 3
4575 4080 1
5948 2811 2
8949 2107 3
9771 9587 8
2651 44 7
6252 1559 2
2122 4089 6
3154 5025 6
8137 2873 9
1359 9430 6
5467 2318 7
532 8910 3
3277 5377 5
4952 3174 10
9330 7208 3
5169 9176 10
5586 932 8
3505 4618 4
6269 2732 7
2257 430 9
9109 621 1
3182 479 7
1033 5191 2
5375 4216 9
7072 574 6
5537 7594 3
2053 6438 4
1523 2247 4
3456 3124 7
1993 5304 3
8968 2424 7
5027 7598 7
4930 2558 8
9434 4428 3
1439 9452 8
1824 569 2
350 5746 1
8336 2481 9
7782 4522 5
9525 2702 2
5922 1062 1
4926 2769 10
8586 842 8
8036 5359 2
7389 2274 3
1662 8431 7
5971 5407 1
8554 9676 7
490 7687 7
9392 1009 1
3840 2059 4
7463 8399 10
6728 7912 3
1833 5751 10
5662 8543 10
9424 5391 3
1991 2518 2
6607 2120 5
6892 5983 2
1707 227 7
7666 1933 4
7363 2987 3
1063 7823 1
6450 9596 5
6211 222 5
4736 5414 2
7900 4496 7
6391 9233 6
9034 1012 3
707 7868 2
7485 9042 7
8492 4998 5
6901 560 6
9409 1119 7
8798 652 4
6681 224 8
6032 1653 7
9937 1407 5
8364 2425 5
9255 2756 4
2185 2639 9
592 9377 3
445 8983 8
5239 415 8
4407 4074 1
3830 6263 1
501 6890 9
4699 3241 7
9429 9356 9
8238 2054 1
9332 1794 6
9857 4333 10
2574 3350 4
2297 9717 10
8236 5706 6
9880 4171 5
1509 3904 7
5667 2925 2
4413 5913 8
3998 8913 8
3403 6301 8
3595 8089 8
9853 7752 3
5450 105 5
860 2679 7
7600 5547 10
3962 8384 5
3498 1529 3
3562 7936 4
2049 4655 4
7940 3000 8
6671 2863 7
3595 3435 8
357 9370 7
7227 4610 7
7595 2892 10
9438 6320 5
1866 1234 10
4204 6990 5
8478 8500 6
9400 1746 3
547 8489 8
7462 922 1
109 1200 10
3479 1781 2
9276 1418 3
6343 1475 9
1260 8864 10
2708 8381 9
2659 7675 1
2885 2585 9
609 1899 10
9122 7386 5
6189 1509 1
6860 7952 5
185 5546 3
5027 1575 7
3848 1333 3
2853 6193 9
8691 5150 8
7089 7430 8
9830 9443 1
3483 1264 4
3599 4919 3
9703 9635 10
2157 4961 10
4860 9904 7
6523 4486 8
5465 5013 6
8529 103 9
8982 6006 9
4902 5520 2
4595 1890 8
336 9814 2
115 2813 1
8794 6726 8
7909 5955 2
3804 648 9
2830 6305 3
7946 3193 7
6219 3346 1
7877 3268 9
700 9588 7
6003 8406 7
9178 5719 1
2296 5784 5
542 1060 1
3962 1700 5
7075 8380 9
665 4706 3
4365 7435 3
7556 1892 8
5257 2984 8
6168 616 3
7931 933 10
3641 8927 5
5551 7462 10
7883 2399 2
992 4001 10
8228 1617 1
2136 573 7
3692 7134 1
9938 1507 6
7017 7772 9
9060 908 9
8351 5821 3
2949 1868 4
4779 3479 8
5203 9879 1
8757 5706 9
5499 3429 6
214 5653 10
4156 2712 1
9092 4065 9
4989 1986 6
7243 2565 9
5716 5918 5
5972 3992 7
4950 4135 4
9005 3367 9
883 8644 4
7251 4810 5
8138 9403 9
3035 7600 4
1316 7471 10
2817 5905 6
8072 833 10
8307 7607 6
8906 902 7
5202 4866 2
3021 9415 7
2706 7560 3
7023 8510 10
3024 2198 5
9516 7783 1
4155 2038 9
668 5334 3
5987 5725 2
4376 8440 5
6511 9840 8
8995 2487 3
8294 8894 10
8942 4592 5
3607 829 3
4754 7768 4
3887 4909 2
1164 5022 6
6639 2936 4
6136 7103 7
278 6582 3
6516 6909 2
9657 4653 1
8034 319 2
1105 2783 7
3667 7430 9
887 2099 6
8882 4150 3
7580 7686 1
1544 4535 2
1943 6720 10
6047 857 8
3792 8012 10
1027 1351 7
300 6145 4
7375 5936 1
2775 3379 8
1876 6090 4
8212 1 7
4334 1593 5
5748 7175 8
8198 2224 2
3132 7191 1
9045 6715 3
9656 7888 8
5846 60 8
2951 6449 7
544 6542 6
3892 336 3
6204 4368 4
5215 4070 2
1303 4145 4
9685 8147 3
252 7821 7
9 7873 10
2984 6177 5
2615 4665 3
9064 7283 7
514 5921 7
8832 9622 1
6275 6263 8
3504 950 7
4322 1199 9
7556 6091 6
4422 5557 9
686 6155 2
2193 2585 5
9167 5658 2
9702 8841 6
8238 3878 9
9309 8629 10
8890 9831 3
4643 6788 2
981 8965 3
6539 8552 9
7229 3829 9
8280 5694 6
4262 1425 2
8846 8265 9
151 3167 4
7721 1150 1
1354 2892 8
4443 1761 3
550 5429 5
2663 4250 3
5207 884 6
2374 413 1
8786 6502 9
4049 6500 1
9732 2115 1
8774 2184 9
3010 7184 8
4646 1776 6
133 7690 1
3464 6568 8
3953 7522 3
3497 9039 6
4061 6121 3
8436 7627 3
9845 510 7
9587 8012 9
9497 3889 7
1617 1674 2
9079 7823 4
4732 5975 9
5537 825 4
5848 4576 7
5429 3448 9
5903 6402 10
1332 4918 8
7981 3705 6
8043 5611 5
7768 2868 8
5369 703 7
2609 4191 2
4052 9448 10
4545 8857 4
8373 5551 6
8486 5519 1
6630 9896 6
6242 786 2
6354 5240 2
8736 8252 3
5625 3424 9
698 9810 7
2255 6871 4
5785 9248 3
8569 1649 5
4303 2254 10
8844 8128 7
270 9840 5
6992 8689 5
4184 482 4
8700 7484 8
6949 149 8
7937 8448 1
4191 1128 9
8258 7109 6
9765 4735 8
3980 6876 10
9244 9555 7
4381 9518 10
8829 9495 2
4924 5090 4
7167 3217 6
7569 4556 6
7372 5536 4
7192 3156 6
9237 8536 10
9027 7550 10
8869 7498 10
8404 6031 2
1561 3821 10
2571 6376 2
167 7195 7
5894 3705 10
9239 4551 3
986 9358 10
9183 8482 8
6789 2054 7
5733 1681 6
4339 2485 6
2672 7531 1
720 508 8
90 9172 6
5027 7304 3
7707 8613 1
1806 7891 6
4505 2038 3
6296 5116 4
266 6842 1
6120 1589 3
4499 7154 9
8039 396 1
8783 724 7
8701 2880 8
6468 6567 2
4599 8649 7
7325 863 6
4673 4569 9
6227 8295 4
8445 501 8
1348 8725 2
2679 6099 4
5799 9169 3
2924 9260 10
5225 4319 7
6662 6060 3
6668 4397 3
7553 7775 3
8027 5922 3
4330 8573 3
3406 654 2
9247 3705 6
5116 2019 7
2379 2104 6
3918 6137 9
946 4976 4
9897 2156 6
8570 4748 5
8584 2530 10
6096 7054 1
822 2525 4
7128 6175 9
8923 5273 9
8840 3287 5
7224 9579 4
2574 9080 9
3160 6026 7
7709 1593 8
909 6198 6
2560 5993 1
8914 6676 7
3591 458 7
5664 6999 9
3217 1308 7
1301 8569 4
2980 4513 7
6244 8670 8
8031 2184 2
6242 7278 9
8433 8799 3
3243 7716 3
7911 876 2
3457 7256 7
2752 4726 6
3832 6343 9
6975 4210 3
8588 3068 10
4498 394 5
9205 5817 3
7500 3666 2
9422 537 6
2881 1389 2
3960 8377 6
1659 6271 8
3163 3080 7
820 937 3
177 2287 3
6518 6552 1
8220 1441 3
4739 163 1
8188 6690 10
4511 2990 6
2726 2829 4
3649 2898 5
8086 4141 10
9363 6702 8
1235 9963 7
9825 8195 9
4760 9136 3
9674 7999 1
8936 5176 6
5938 2153 3
3963 8482 4
9680 3936 10
9572 3730 7
9865 7910 7
4651 927 6
4391 6043 6
2 6212 7
4008 9287 8
1779 2388 1
6768 2465 7
3047 8281 6
1371 200 4
106 3093 3
1331 8684 6
9396 7978 1
2465 9971 5
9553 8798 4
647 6235 3
521 4446 5
7676 1058 3
7476 4080 1
6200 8759 6
5271 7479 3
9938 7422 1
9850 5978 5
2761 9363 3
371 7264 2
1370 407 10
502 304 10
3754 6643 2
6338 3558 6
1935 9960 1
4170 2086 8
3163 2371 3
32 8946 10
3415 7740 6
456 6881 2
6149 4275 6
1401 9187 9
6265 7032 7
4541 3993 10
526 6495 4
8994 9312 5
3746 3660 6
1028 65 7
1510 3991 4
1478 4328 1
5143 8660 6
6487 5543 5
5238 9896 7
8991 1192 10
4129 313 10
3652 7988 5
6537 1947 5
538 8698 1
8851 2736 8
6376 5500 1
7800 8915 7
2664 0 4
7714 2785 4
353 8283 9
7734 4039 2
3998 4465 4
4504 9498 9
1013 2125 3
6232 4666 2
826 9864 2
3426 5412 10
2737 2336 8
6743 6159 7
5897 2894 6
34 5639 6
2680 4087 6
3877 7267 6
191 961 4
9445 7322 9
1167 9471 4
3324 2403 6
5764 4999 7
8985 9600 2
520 391 9
2462 4635 5
5862 3183 1
8430 9074 1
5308 3994 10
630 1651 10
1800 3773 6
2352 8726 1
6134 7473 4
5450 8170 1
4836 5227 4
9541 1088 3
9742 1978 1
550 8583 1
2535 8283 3
9722 7158 2
54 6222 5
6644 3267 2
7606 7163 2
2804 3742 2
4441 5838 10
5722 5774 6
6101 5098 3
6963 4288 8
2044 1666 9
8527 652 9
5846 9806 4
2427 5541 9
6122 4389 10
7477 1013 3
3338 1176 1
5748 4309 9
7755 76 4
9367 7890 4
9675 7998 4
1714 5197 8
7025 4429 3
161 9157 7
5978 5392 5
3903 4051 6
9887 73 3
7798 565 5
9000 6371 7
3693 6165 2
2793 6951 5
6892 1562 10
2504 3227 10
6548 2634 2
1365 6159 3
9067 9194 5
5847 3101 10
3553 478 9
3719 6382 9
1199 5019 6
2238 3507 2
2855 907 8
4207 5081 8
1063 1252 2
2646 4124 4
7540 4585 3
9127 8449 9
1461 6442 1
5531 4502 1
32 7512 2
1890 7774 4
559 1113 1
5005 1150 3
392 1479 8
7293 4473 6
3758 2113 8
4319 4286 3
7215 4183 7
7868 8351 6
9428 5368 9
2809 7179 9
4780 3748 1
4598 4715 3
6140 442 9
4564 2785 8
5160 8411 3
2031 4482 9
341 8430 9
8568 2622 10
9010 1512 10
3291 7526 2
5171 4364 7
8489 8343 3
8502 3633 4
6098 209 6
4868 4103 1
942 6096 1
2065 2218 2
266 7868 6
7653 6249 9
7333 2820 10
3823 3449 10
5397 5366 7
4288 1218 4
396 7479 4
5344 5132 2
7763 9837 8
7563 9114 5
9605 3832 8
1156 2131 4
8852 3389 8
102 4800 5
2153 9305 6
1093 8084 7
7197 4110 3
9073 5352 7
4511 9252 4
915 4837 2
5792 6367 10
9307 7736 9
7165 1503 1
6950 7467 10
4610 8147 2
9111 8302 1
652 2671 3
3930 790 8
8033 9447 2
7404 8244 6
4811 7578 2
926 4133 10
375 8083 7
1197 9306 8
6286 8993 7
9816 580 10
7095 9997 2
5338 7335 8
1214 2598 7
1071 2305 9
8541 405 4
2491 3537 1
7017 7292 3
7539 8019 4
4159 6102 10
7667 1295 3
497 951 6
1981 2151 9
3793 7207 4
8583 6115 3
2785 4856 4
6167 4755 8
9261 719 8
8214 1485 10
1950 5409 8
8490 8751 8
9860 685 5
9566 7445 3
70 9363 9
7114 7962 2
3154 2717 6
1764 5642 6
5556 7059 5
772 6240 3
8764 175 9
2598 7668 1
6089 9114 4
4066 7095 8
1628 9287 1
610 9629 10
5717 669 9
9511 9957 2
3887 1911 4
3231 4680 1
4913 6969 7
5751 1970 1
9595 6961 1
3491 1081 7
3449 6612 4
1857 3849 8
6274 9913 6
7445 7739 1
2168 6776 1
6702 822 4
3610 8763 1
7117 1376 1
7194 4422 9
222 3138 2
4077 6109 6
3859 2318 1
1421 390 2
5656 7068 4
6700 7351 2
5553 1955 2
9140 2230 7
9912 2407 9
4452 6632 9
9906 205 3
9995 6821 8
311 7643 3
381 3948 8
1509 7831 5
4599 4418 7
8587 3389 5
3036 9013 9
8995 1403 2
1803 4269 1
5401 7824 6
1859 3962 10
8830 8325 8
915 3424 1
5202 8136 2
2931 3581 7
4310 2871 9
4130 8880 9
6612 4545 8
409 6411 2
3509 125 5
9173 2972 9
8070 2068 1
8189 9863 2
9611 4452 1
6656 1942 4
672 8365 10
6601 568 8
998 1723 5
5492 6148 5
8660 6464 1
2140 7493 1
8208 737 1
7502 2059 2
5099 3529 9
1756 2979 10
6385 1232 8
3141 929 4
6204 3210 4
3120 5431 3
4581 5467 8
5523 9067 4
969 1588 6
1151 8327 9
8914 5849 4
5159 3246 5
4183 1733 7
1385 559 4
5208 4125 2
9893 1085 1
9485 6680 1
7011 7467 6
317 6503 7
1728 3793 6
1455 1615 2
3686 3201 3
6304 9165 1
4579 8614 10
7448 9885 2
5638 5619 5
255 9706 10
5606 5074 2
1560 6645 1
7924 5375 9
7076 3172 1
9841 2047 8
99 1113 6
5289 9321 1
5094 7491 2
1820 9157 1
36 2435 4
1387 5408 5
3007 6083 5
3412 5617 2
6732 9709 6
5262 1618 3
5689 4751 8
3067 2598 4
2968 5224 2
8862 2853 8
2809 419 10
5911 4288 2
4709 2295 4
6485 542 3
6789 3973 7
9373 4847 5
7643 1077 5
3941 7238 1
2225 8010 9
2327 8855 3
1004 5873 3
3571 1655 10
9588 4124 2
3573 7758 8
608 6600 10
4256 1294 8
6567 2605 6
4994 1336 1
7545 3451 3
1050 3953 4
7191 9932 3
5911 7508 8
1212 2064 6
1141 211 4
9336 6456 9
777 5410 4
3841 7895 3
4876 6807 6
303 735 6
3446 3932 3
9978 7284 9
1205 8547 2
6770 7427 1
1409 8403 10
4017 4516 2
6862 1970 9
4175 9450 5
6326 3817 9
3635 4329 4
5145 2472 4
6599 3653 3
6823 6247 4
6497 9804 8
2811 8620 2
5965 7619 10
8564 8103 7
8087 5111 5
9085 5809 6
7564 1407 9
5765 1446 7
2965 4348 9
2784 2021 5
513 867 8
7931 8772 7
9692 5279 8
7296 5430 8
8512 4354 4
2909 9086 8
2513 5008 6
5117 8254 2
4308 209 4
2660 8222 6
4021 1640 9
226 1824 2
5038 50 8
112 8503 6
100 9702 6
8739 2640 10
2517 3914 10
1081 4680 7
6500 7542 9
7937 5774 7
8288 1290 5
26 3844 2
8006 1313 9
1217 263 3
7481 6778 1
9781 9391 4
605 7009 6
6594 5475 8
9313 8932 10
1064 4918 6
1913 3346 1
3947 2905 1
2896 9161 10
873 4583 4
3185 7814 3
2484 1305 6
8761 7965 1
2649 5423 6
2583 611 3
5065 3610 4
3536 7407 6
7348 9953 3
6589 3055 7
362 2235 5
7751 8750 2
319 1583 2
4778 4694 8
1315 7268 6
8645 2387 3
2069 5474 1
8533 8667 3
881 4300 2
3968 4137 10
2944 1562 2
2265 22 4
6171 4210 9
1248 601 5
3150 8544 10
9505 7136 4
7543 6342 3
9160 1018 4
6311 3185 3
4960 6313 3
2723 5021 3
1178 8144 3
3005 4941 3
4909 3854 7
5774 5698 4
746 7429 3
3911 3667 1
4991 143 9
6683 4510 5
8396 1448 8
5063 9980 8
7596 7243 1
7492 6989 4
5945 103 2
8394 1280 4
9987 8511 1
8989 4260 8
4984 8457 4
3304 4806 2
4666 8181 1
5996 4026 4
8327 893 8
7097 3590 5
8926 1133 1
1153 9923 1
1185 5508 9
3351 7907 3
7353 86 3
8106 5325 7
4850 5876 10
4371 6089 7
6622 5290 2
1290 1996 3
2699 3287 6
5557 7234 3
2229 3703 4
9413 343 4
4959 7376 5
1203 8861 4
3238 3187 8
5051 7854 6
8149 8317 4
630 8847 4
5358 7943 5
4642 1517 8
3708 6137 2
8498 9612 9
1491 2400 1
8495 1584 9
2273 2417 7
1588 3602 5
3370 1291 3
1972 4162 4
1089 7467 2
5344 1516 4
4947 2766 2
1881 6236 9
1800 9280 4
6681 7421 7
3901 1503 1
3750 6131 1
1508 8773 4
384 7804 3
6435 6959 7
2888 730 3
1220 5959 5
3489 6956 9
8875 4111 7
5539 7551 6
1966 2597 6
6000 5616 3
6407 5679 5
5911 745 9
6136 5493 5
7 801 6
2045 9334 1
2994 1061 3
1131 5798 5
3218 9897 8
2566 8028 3
6820 4772 6
2788 9340 2
1020 6958 3
4435 6519 9
6874 3564 3
5120 945 8
1307 1581 7
7105 9053 6
2234 439 10
1682 1765 8
6965 4136 5
6196 6288 9
543 1254 10
5926 4467 5
1546 7868 9
2470 7195 6
7843 2622 2
5300 9681 5
4409 1982 4
4124 4844 9
2899 9746 5
1070 4376 7
2933 7143 7
5512 3219 6
7257 5844 1
829 7923 7
911 5675 2
7096 3539 1
4700 9371 10
8692 4368 4
1509 4646 1
5297 1377 6
8412 8842 6
3379 4148 4
7930 1782 4
8755 5062 6
9340 485 2
4168 2921 3
6214 4534 8
4237 4011 1
52 7841 3
4241 6188 6
6773 6535 8
9516 9291 1
8408 2953 2
4962 2583 8
8042 626 3
17 1634 1
8443 3926 6
9972 9642 8
4530 9045 8
2886 6496 7
8205 1576 8
5775 3379 8
8759 3991 7
4475 7073 8
8600 9180 6
1491 3572 6
6030 9157 6
5370 9409 3
9123 3451 2
2557 8603 2
1087 1781 4
569 2103 9
4398 3259 10
2321 4134 5
689 3487 5
7437 1588 7
1308 2417 8
1290 6468 4
5276 5005 2
5398 7268 7
3633 7839 8
7198 8455 3
1647 2168 8
7426 6723 7
2055 1398 1
2934 6520 5
7619 4718 4
1107 2032 2
6907 4558 2
2982 3290 5
9128 2838 8
6307 9857 5
3181 5651 4
3179 3328 5
2761 6032 3
3653 4385 1
1271 7941 10
2168 9706 7
1561 2715 1
2126 1058 2
9215 6641 8
9714 9371 8
8490 4391 6
8162 7757 3
6691 2141 7
3670 7379 7
4552 6821 6
2075 7107 3
4315 2387 2
8655 1728 3
8 1999 5
5823 4228 6
670 7474 3
927 6807 10
2088 3551 10
1762 1117 8
741 2256 2
8103 5801 6
6851 1402 9
8504 5728 5
410 4712 8
8430 2841 8
5546 348 2
4022 508 2
133 3486 2
566 3173 5
2928 4970 6
1320 333 5
2609 6235 8
4748 8579 5
8325 3762 3
9961 534 3
6649 7193 6
6343 6551 4
6426 9385 9
1172 9736 1
1952 7725 10
7636 1216 9
2549 8493 5
7046 1752 9
2033 7622 3
9845 59 2
7081 7998 7
8622 7894 7
6175 990 1
769 2732 6
9736 6679 10
1305 5117 1
9787 2153 5
6671 2099 8
4063 2734 1
4236 9527 4
4548 1860 4
6882 729 7
8786 2627 6
4858 4918 5
903 1469 10
6925 7836 7
3346 4316 10
2761 2244 9
2792 6712 5
6276 352 7
261 6222 5
4245 3548 5
7782 8207 4
7872 9616 9
1987 228 10
1232 8672 9
378 8390 5
4120 1138 3
8426 9400 4
8577 8863 7
3283 5799 4
8436 7891 9
1557 5687 6
2439 2728 8
5598 8877 2
3264 5751 1
4985 6376 5
8740 2777 2
1337 8120 6
7220 8660 1
479 1973 9
3977 1385 6
4461 4704 9
7038 2156 2
3749 2680 10
6454 5358 7
9911 5257 8
8561 9304 9
892 3338 6
5012 7878 6
5790 5717 6
1627 7708 10
5520 3901 10
4320 8635 5
8122 9930 5
2674 2228 2
7410 1982 6
8212 2495 1
2900 5285 8
5959 5517 2
4588 587 9
6200 3099 9
657 1121 9
6380 9574 9
8246 8228 2
4302 3037 8
1495 8314 6
335 9657 3
9340 4037 3
6032 4178 9
7358 6245 9
3809 5386 7
4985 6139 2
8388 8770 8
762 9691 4
529 5989 4
4763 6527 8
1616 5854 8
2691 5900 1
561 8050 1
1739 3199 8
1746 1688 2
6000 9718 6
4370 1559 8
6246 9070 5
564 2146 9
7851 6104 4
3923 298 9
6731 2522 10
5611 7153 8
4350 1874 9
1978 1295 1
8311 5850 2
7559 7809 10
9888 5769 2
3876 505 1
8953 1815 2
9379 5468 4
9247 4988 8
228 4830 7
8938 5261 8
326 9439 5
1779 3255 4
302 6073 5
5580 5871 6
1291 768 5
8989 1301 10
2395 9914 5
1707 7025 6
444 4224 9
8289 8442 10
108 5299 8
7847 1084 6
8488 6113 7
7007 8017 7
8220 8370 1
3450 4183 2
9602 4121 7
9358 9055 7
400 9318 5
6542 6702 9
2486 291 1
9857 7947 10
6572 3635 9
1437 2812 9
6335 9363 3
4286 9253 8
1482 7019 4
2878 2086 6
9895 4230 8
5219 7054 2
4826 8901 5
5276 8220 7
3100 5146 1
2018 6027 9
5899 8728 1
5204 3672 8
6009 6316 10
4686 1278 9
5658 2442 9
6973 2197 8
3041 4145 6
1033 8830 2
7558 4169 7
2137 1942 5
5555 9159 9
1608 9060 6
8133 8158 9
4179 9234 1
2345 8932 2
6394 7566 9
8098 1824 9
2764 5513 2
3428 6847 7
8124 9431 1
6727 9046 6
4141 6433 10
1877 5821 4
8747 9050 10
6092 6133 10
2284 5411 8
8523 8551 4
8608 8837 9
6705 1077 4
9944 4199 9
5854 2958 10
8546 3249 9
6431 4504 7
2424 6379 5
3731 3676 1
3261 9542 5
4134 3939 8
3529 2298 6
8510 9219 5
5851 2980 2
34 5439 6
2691 1659 5
6779 6936 5
7173 5066 5
8613 4706 5
3139 7335 8
7412 6594 7
5708 3416 9
5607 790 8
602 9636 3
2519 2755 6
8773 6739 8
3813 3690 10
8383 5396 10
6367 3850 4
2214 6736 4
2663 4766 5
1000 4256 7
6579 652 9
4235 7619 10
298 9248 6
6636 8362 1
2070 8251 3
4547 4454 7
2420 2642 6
24 9748 3
2251 5320 4
4720 1772 9
800 3824 6
6754 8642 8
6929 9867 8
7725 395 10
7666 7765 9
7561 4696 10
840 9348 7
4809 5566 4
461 7825 9
2355 8023 10
9970 1258 5
277 9571 1
4265 3462 7
4897 358 3
7683 5884 5
3703 2540 2
9625 2964 10
2922 9099 8
3526 6517 2
2983 1421 1
2068 2523 8
9506 5062 2
4380 9844 9
4381 445 8
8941 4049 3
2022 1263 1
9546 7631 5
467 2061 2
6503 8765 6
4702 5276 2
4 1097 3
1060 7276 7
8957 1433 3
2338 996 7
5799 211 3
1909 9275 9
8931 3967 1
7681 4615 7
3940 7681 5
6361 8345 10
9091 3829 7
3848 2745 9
5668 4813 7
6978 5545 2
9879 1360 9
9533 4931 1
1596 1401 3
7321 757 9
6152 452 7
6326 3076 6
4357 1141 2
751 1301 4
779 9027 10
7643 2677 8
1861 6375 10
58 5264 6
6381 9812 4
5451 8687 6
2016 9682 1
3229 9725 5
8527 240 6
5728 7149 10
529 8350 1
9276 465 3
7395 8224 6
7717 229 5
3195 4567 8
2768 8227 1
4306 7502 7
6693 4963 4
5425 7310 8
6473 6889 1
6750 1321 4
4459 325 10
6487 6382 10
2709 8508 6
732 2375 3
4643 6179 5
6121 5480 8
532 7701 7
8708 9655 3
5560 1687 3
4763 829 6
9140 6050 1
3431 3770 4
3496 4681 6
8854 7438 4
945 2059 6
7596 1822 5
5714 4229 7
466 786 1
8539 8673 4
9127 457 3
1166 9305 7
9724 9835 3
4090 8693 9
1805 1861 10
1170 1885 6
3780 6220 9
1842 2756 4
563 3886 1
7533 6736 2
4623 5774 9
7867 968 3
7216 78 6
5964 5682 2
7600 7819 8
2882 5795 4
1395 5239 4
6289 2177 6
1049 4438 8
2676 7597 5
6006 5519 2
6998 9128 9
3091 9238 1
7031 3269 8
8085 5785 4
9278 6903 1
491 6082 10
1547 5242 4
4390 5641 10
7331 2005 7
7015 4372 7
8491 7593 5
8238 301 2
9652 9497 3
6107 5328 9
3931 8559 10
6007 1606 10
1684 2128 2
995 2959 10
8637 1614 6
7 1210 10
9034 9525 2
474 3830 5
9995 1143 4
8797 9452 10
8320 3057 5
3243 4149 3
721 2437 8
5734 3685 6
798 4327 7
2847 2676 5
8845 1771 6
7612 9685 10
4403 3546 3
1243 3498 7
2616 2099 6
5078 5403 7
6422 8939 3
5929 5129 6
1694 8346 6
2335 7179 3
6921 8738 5
6306 9511 3
8896 702 3
1693 4530 4
1866 4117 2
4752 7666 4
1078 316 9
2785 9328 5
5855 404 9
9315 2580 1
7760 2639 4
4771 3014 4
3821 9861 2
4074 3743 10
833 7201 9
8623 9857 1
3417 9829 2
2806 3184 5
6416 9613 7
6451 7970 8
9732 7923 6
3770 511 4
8345 3657 8
7144 1596 3
6711 7795 9
8546 3765 7
3821 870 5
2430 1384 9
5258 6712 9
6676 4434 7
6384 7880 2
2647 1778 8
2406 417 3
1723 1107 5
6013 4748 2
8912 1662 7
6976 2573 6
2449 8824 5
912 3269 10
1528 6348 1
8232 6138 3
4570 4403 10
3437 7243 3
3249 2814 6
3573 5094 10
1144 4522 8
358 527 3
8636 2986 3
5191 5666 10
8009 9057 7
2411 5783 2
8750 6892 4
932 5795 4
7553 7611 10
3014 6186 3
3449 7124 9
3343 7079 8
1871 1483 4
123 959 6
6321 4578 1
1296 4320 9
306 7155 10
6388 9541 2
3392 1031 7
9873 1108 5
6934 5596 5
5700 7603 10
7590 9563 2
2991 6713 3
8766 7489 10
9814 3697 8
6478 9493 6
92 9377 9
7407 4865 3
7573 4739 1
979 6133 9
8339 8354 7
3721 2335 10
7486 4998 5
9228 1255 5
7151 9977 4
3426 7522 8
7493 410 9
6401 2683 3
7500 1323 3
8737 2647 4
2384 5716 10
8233 7663 8
4516 748 6
7044 1442 9
9092 9451 1
5723 8945 8
1098 7196 9
468 5380 3
8939 5041 5
6188 7002 7
6934 1965 4
4682 3932 7
2898 4396 10
4948 9053 8
3159 6106 1
1601 2714 6
8872 2430 4
7756 8573 5
6965 9127 7
6329 8252 4
9906 9811 2
1208 9583 4
1841 810 4
5402 1711 10
709 4949 5
2107 2133 10
3418 2406 6
6794 6188 5
4014 3781 1
2275 2150 7
7963 6765 7
1974 2261 6
6979 3865 5
2431 6315 3
7297 4845 2
1842 8538 8
8902 4869 5
6400 7983 5
4060 8368 2
1703 4527 9
9571 354 9
1850 1124 6
6451 8147 4
2998 5142 10
719 7912 6
8355 6233 4
1263 3634 5
7793 541 5
8758 6575 1
9725 5999 8
4755 2605 7
552 1965 3
109 4812 7
5594 9992 6
6050 7200 3
9084 8139 10
6329 1218 10
8137 905 6
37 825 6
2752 6610 1
7199 4290 4
6224 7687 8
3251 9193 3
9383 9587 6
5578 525 2
5526 397 6
9799 8632 8
2559 6345 4
4398 6678 2
7249 9369 10
4867 7275 4
6078 8626 7
6420 5753 2
5133 4888 2
1155 1017 9
153 9735 9
3461 3836 3
9524 2707 9
9311 7976 1
403 7407 6
2806 6944 10
1985 9225 9
4576 5076 1
730 6268 4
9592 4011 3
2694 8145 3
79 9658 2
9449 1161 1
8212 4273 8
2870 6086 2
6849 3653 6
1803 4160 2
5093 5005 5
9698 9622 1
958 422 8
9779 4073 10
7947 839 8
7044 3478 7
1316 5649 5
1774 9905 2
356 5729 10
2093 6612 2
1824 9620 10
2807 9917 8
6258 2951 2
8827 6725 9
529 2137 8
6218 4251 9
5153 9361 4
2127 7083 6
1185 5901 8
5446 2885 8
7221 2905 2
6232 9498 7
6540 6050 3
1123 5625 3
2799 3533 2
2229 4145 8
3879 9393 3
7072 4983 7
3253 8241 9
7173 6530 6
8200 9438 8
4616 7434 1
5822 2962 5
354 6553 5
9828 8542 5
9510 9303 3
6046 9651 6
8145 8274 5
6774 6728 1
9388 3102 10
3068 7222 7
2182 6452 6
3316 2491 1
5715 4553 6
2773 472 7
1698 9835 4
2092 1686 7
4926 374 2
6556 3197 6
3584 9274 8
3978 376 8
8059 616 8
447 7530 5
5824 6225 10
5220 4296 1
3491 3666 2
8232 2335 5
439 6355 8
3315 5603 2
5173 7419 5
5910 3350 8
1813 3018 5
6975 3394 6
2467 5971 3
4974 5373 4
2764 7258 6
3161 7067 6
372 2911 5
5402 3342 1
7484 5232 8
1527 4006 2
3165 8383 8
